,Movie,Year,Release Date
0,The Disappearance of Flight 412,1974,
1,The Stranger Within,1974,
2,UFO: Target Earth,1974,
3,Escape to Witch Mountain,1975,
4,The UFO Incident,1975,
5,El hombre perseguido por un O.V.N.I.,1976,
6,God Told Me To,1976,
7,Laserblast,1978,
8,Starship Invasions,1977,
9,Close Encounters of the Third Kind,1977,
10,Foes,1977,
11,The Alien Factor,1978,
12,Burû Kurisumasu,1978,
13,The Day Time Ended,1978,
14,Eyes Behind the Stars,1978,
15,Return from Witch Mountain,1978,
16,The Cat from Outer Space,1978,
17,The Dark,1979,
18,Le gendarme et les extra-terrestres,1979,
22,The Aliens Are Coming,1980,
23,Cheech & Chong's Next Movie,1980,
24,Hangar 18,1980,
25,The Return,1980,a.k.a. 'The Alien's Return'
26,Earthbound,1981,
27,Heavy Metal,1981,
28,V (science fiction) series,1980,
29,Big Meat Eater,1982,
30,E.T. the Extra-Terrestrial,1982,
31,The Thing,1982,
32,Wavelength,1982,
33,Xtro,1983,
34,Alien Prey,1984,
35,The Last Starfighter,1984,
36,Meatballs Part II,1984,a.k.a. 'Space Kid'
37,Starman,1984,
38,Strange Invaders,1984,
39,Cocoon,1985,
40,Miami Golem,1985,a.k.a. 'Miami Horror'
41,Morons from Outer Space,1985,
42,My Science Project,1985,
43,Star Knight,1985,
44,UFOria,1985,
45,The Aurora Encounter,1986,
46,Escapes,1986,
47,Flight of the Navigator,1986,
48,Hyper Sapien: People from Another Star,1986,
49,Invaders from Mars,1986,
50,Maximum Overdrive,1986,
51,*batteries not included,1987,
52,Predator,1987,
53,Real Men,1987,
54,Alien Nation,1988,
55,Cocoon: The Return,1988,
56,Invasion Earth: The Aliens Are Here,1988,
57,It Came from Somewhere Else,1988,
58,Killer Klowns from Outer Space,1988,
59,Mac and Me,1988,
60,My Stepmother Is an Alien,1988,
61,They Live,1988,
62,The Abyss -1989,,
63,Communion,1989,
67,Predator 2,1990,
68,Intruders (film),1992,
69,Invader,1992,
70,Attack of the 50 Ft. Woman,1993,
71,Fire in the Sky,1993,
72,U.F.O.,1993,
73,Official Denial,1994,
74,The Puppet Masters,1994,
75,Roswell,1994,
76,Stargate,1994,
77,Dead Weekend,1995,
78,Visitors of the Night,1995,
79,The Arrival,1996,
80,Independence Day,1996,
81,Mars Attacks!,1996,
82,Night Visitors,1996,
83,Phenomenon,1996,
84,Dreamland,1996,
85,Contact,1997,
86,Invasion,1997,a.k.a. 'Robin Cook's Invasion'
87,Men in Black,1997,
88,The Shadow Men,1998,
89,Alien Abduction: Incident in Lake County,1998,
90,I Married a Monster,1998,remake of 'I Married a Monster from Outer Space' (1958)
91,Progeny,1998,
92,The X-Files: Fight the Future,1998,
93,Sphere,1998,
94,The Second Arrival,1998,
95,Gojira ni-sen mireniamu,'God,1999
96,Muppets from Space,1999,
97,My Favourite Martian,1999,
98,The Astronaut's Wife,1999,
99,Roswell: The Aliens Attack,1999,
100,Fantozzi 2000,La c,1999
104,Scooby-Doo and the Alien Invaders,2000,
105,Mission to Mars,2000,
106,K-PAX,2001,
107,Groom Lake,2002,
108,Men in Black II,2002,
109,Signs,2002,
110,Alien Hunter,2003,
111,Koi Mil Gaya (Bollywood),2003,
112,Visitors,2003,
113,Godzilla: Final Wars,2004,
114,The Forgotten,2004,
115,Alien Abduction,2005,
116,War of the Worlds,2005,
117,Alien Autopsy,2006,
118,Flying Saucer Rock'n'Roll,2006,
119,Lifted,2006,
120,Dreamland,2007,
121,Martian Child,2007,
122,Night Skies,2007,
123,Indiana Jones and the Kingdom of the Crystal Skull,2008,
124,The Appearance of a Man,2008,
125,The Day the Earth Stood Still,2008,
126,The Invasion,2007,
127,Bolt,2008,
128,Summer of the Flying Saucer,2008,
129,The X-Files: I Want to Believe,2008,
130,Alien Trespass,2009,
131,District 9,2009,
132,Knowing,2009,
133,Monsters vs. Aliens,2009,
134,Race to Witch Mountain,2009,
135,The Fourth Kind,2009,
136,Avatar,2009,
140,Skyline,2010,
141,Apollo 18,2011,
142,Area 51,2011,
143,Battle: Los Angeles,2011,
144,Cowboys & Aliens,2011,
145,Mars Needs Moms,2011,
146,Paul,2011,
147,Super 8,2011,
148,Transformers: Dark of the Moon,2011,
149,UFO in Her Eyes,2011,
150,Battleship,2012,
151,Prometheus,2012,
152,U.F.O.,2012,
153,The Avengers,2012,
