,Unnamed: 0.1.1,Movie,Release Date
0,0,The Disappearance of Flight 412,1974-10-01
1,1,The Stranger Within,1974-10-01
2,3,Escape to Witch Mountain,1975-03-21
3,4,The UFO Incident,1975-10-20
4,5,God Told Me To,1976-10-22
5,6,Laserblast,1978-03-01
6,7,Starship Invasions,1977-10-14
7,8,Close Encounters of the Third Kind,1977-12-14
8,10,Blue Christmas,1978-11-23
9,12,Eyes Behind the Stars,1978-02-21
10,13,Return from Witch Mountain,1978-03-10
11,14,The Cat from Outer Space,1978-06-09
12,15,The Dark,1979-04-27
13,16,The Troops & Aliens,1979-01-31
14,17,The Aliens Are Coming,1980-03-02
15,18,Cheech and Chong's Next Movie,1980-07-18
16,19,Hangar 18,1981-03-13
17,20,The Return,1980-08-10
18,21,Earthbound,1981-01-30
19,22,Heavy Metal,1981-08-07
20,24,E.T. the Extra-Terrestrial,1982-06-11
21,25,The Thing,1982-06-25
22,26,The Same Wavelength/Winning Isn't Everything/A Honeymoon for Horace,1982-10-23
23,27,The Last Starfighter,1984-07-13
24,28,Meatballs Part II,1984-07-27
25,29,Starman,1984-12-14
26,30,Strange Invaders,1983-09-16
27,31,Cocoon,1985-06-21
28,33,Morons from Outer Space,1985-09-20
29,34,My Science Project,1985-08-09
30,35,Star Knight,1986-05-23
31,38,Flight of the Navigator,1986-08-01
32,40,Invaders from Mars,1986-06-06
33,41,Maximum Overdrive,1986-07-25
34,42,*batteries not included,1987-12-18
35,43,Predator,1987-06-12
36,44,Real Men,1987-09-25
37,45,Alien Nation,1988-10-07
38,46,Cocoon: The Return,1988-11-23
39,47,Killer Klowns from Outer Space,1988-05-27
40,48,Mac and Me,1988-08-12
41,49,My Stepmother Is an Alien,1988-12-09
42,50,They Live,1988-11-04
43,51,Communion,1989-11-10
44,52,Predator 2,1990-11-21
45,53,Attack of the 50 Ft. Woman,1993-12-11
46,54,Fire in the Sky,1993-03-12
47,55,U.F.O.,1993-12-10
48,56,Official Denial,1993-11-20
49,57,The Puppet Masters,1994-10-21
50,58,Roswell,1994-07-31
51,59,Star Trek: Generations,1994-11-18
52,60,Stargate,1994-10-28
53,61,Dead Weekend,1995-10-08
54,62,Visitors of the Night,1995-11-27
55,63,The Arrival,1996-05-31
56,64,Independence Day,1996-07-03
57,65,Mars Attacks!,1996-12-13
58,66,Night Visitors,1996-10-13
59,67,Phenomenon,1996-07-03
60,68,Dreamland,1996-11-02
61,69,Contact,1997-07-11
62,71,Men in Black,1997-07-02
63,72,Alien Abduction: Incident in Lake County,1998-01-20
64,73,I Married a Monster,1998-10-08
65,74,Progeny,1999-03-30
66,75,The X Files - Fight the Future,1998-06-19
67,76,Sphere,1998-02-13
68,77,Arrival II,1998-11-06
69,78,Muppets from Space,1999-07-14
70,79,My Favorite Martian,1999-02-12
71,80,The Astronaut's Wife,1999-08-27
72,81,Roswell: The Aliens Attack,1999-02-04
73,82,Star Wars: Episode I - The Phantom Menace,1999-05-19
74,83,Fantozzi 2000 - La clonazione,1999-12-23
75,84,Scooby-Doo and the Alien Invaders,2000-10-03
76,85,Mission to Mars,2000-03-10
77,86,Titan A.E.,2000-06-16
78,87,K-PAX,2001-10-26
79,88,Evolution,2001-06-08
80,89,Men in Black II,2002-07-03
81,90,Signs,2002-08-02
82,91,Visitors,2003-11-27
83,92,Godzilla: Final Wars,2004-11-27
84,93,The Forgotten,2004-09-24
85,94,Alien Abduction,2005-01-01
86,95,War of the Worlds,2005-06-29
87,96,Alien Autopsy,2006-04-07
88,97,Altered,2007-07-20
89,98,Flying Saucer Rock 'N' Roll,2006-03-18
90,99,Lifted,2007-06-29
91,100,Dreamland,2007-02-27
92,101,Martian Child,2007-11-02
93,102,Indiana Jones and the Kingdom of the Crystal Skull,2008-05-22
94,103,The Day the Earth Stood Still,2008-12-12
95,104,The Invasion,2007-08-17
96,105,Bolt,2008-11-21
97,106,Summer of the Flying Saucer,2008-08-08
98,107,The X Files: I Want to Believe,2008-07-25
99,108,District 9,2009-08-14
100,109,Knowing,2009-03-20
101,110,Monsters vs. Aliens,2009-03-27
102,111,Race to Witch Mountain,2009-03-13
103,112,The Fourth Kind,2009-11-06
104,113,Avatar,2009-12-18
105,114,Skyline,2010-11-12
106,115,Apollo 18,2011-09-02
107,116,Area 51,2011-02-15
108,117,Cowboys & Aliens,2011-07-29
109,118,Mars Needs Moms,2011-03-11
110,119,Paul,2011-03-18
111,120,Super 8,2011-06-10
112,121,Transformers: Dark of the Moon,2011-06-29
113,122,UFO in Her Eyes,2012-06-13
114,123,Battleship,2012-05-18
115,124,Prometheus,2012-06-08
116,125,El Año 2012,2012-12-23
117,126,The Avengers,2012-05-04
118,127,The Lone Ranger/After Earth/Monsters University,2012-01-01
119,128,Dark Skies,2013-02-22
120,129,Ender's Game,2013-11-01
121,130,Star Trek Into Darkness,2013-05-17
122,131,Alien Abduction,2014-05-01
123,132,Extraterrestrial,2014-10-17
124,133,Guardians of the Galaxy,2014-08-01
125,134,Area 51,2015-05-15
126,135,Avengers: Age of Ultron,2015-05-01
127,136,Pixels,2015-07-24
128,137,Star Wars: Episode IX,2019-12-20
129,138,10 Cloverfield Lane,2016-03-11
130,139,The 5th Wave,2016-01-22
131,140,Arrival,2016-11-11
132,141,Independence Day: Resurgence,2016-06-24
133,142,Rogue One: A Star Wars Story,2016-12-16
134,143,Star Trek Beyond,2016-08-24
135,144,Alien: Covenant,2017-05-19
136,145,Life,2017-03-24
137,146,The Cloverfield Paradox,2018-02-04
