Episode,Name,Director,Writer,Air Date,Production Code,Viewers (millions)
1,"""Pilot""",Robert Mandel,Chris Carter,1993-09-10,1X79,12
2,"""Deep Throat""",Daniel Sackheim,Chris Carter,1993-09-17,1X01,11.1
3,"""Squeeze""",Harry Longstreet,Glen Morgan & James Wong,1993-09-24,1X02,11.1
4,"""Conduit""",Daniel Sackheim,Alex Gansa & Howard Gordon,1993-10-01,1X03,9.2
5,"""The Jersey Devil""",Joe Napolitano,Chris Carter,1993-10-08,1X04,10.4
6,"""Shadows""",Michael Katleman,Glen Morgan & James Wong,1993-10-22,1X05,8.8
7,"""Ghost in the Machine""",Jerrold Freedman,Alex Gansa & Howard Gordon,1993-10-29,1X06,9.5
8,"""Ice""",David Nutter,Glen Morgan & James Wong,1993-11-05,1X07,10
9,"""Space""",William Graham,Chris Carter,1993-11-12,1X08,10.7
10,"""Fallen Angel""",Larry Shaw,Howard Gordon & Alex Gansa,1993-11-19,1X09,8.8
11,"""Eve""",Fred Gerber,Kenneth Biller & Chris Brancato,1993-12-10,1X10,10.4
12,"""Fire""",Larry Shaw,Chris Carter,1993-12-17,1X11,11.1
13,"""Beyond the Sea""",David Nutter,Glen Morgan & James Wong,1994-01-07,1X12,10.8
14,"""Gender Bender""",Rob Bowman,Larry Barber & Paul Barber,1994-01-21,1X13,11.1
15,"""Lazarus""",David Nutter,Alex Gansa & Howard Gordon,1994-02-04,1X14,12.1
16,"""Young at Heart""",Michael Lange,Scott Kaufer and Chris Carter,1994-02-11,1X15,11.5
17,"""E.B.E.""",William Graham,Glen Morgan & James Wong,1994-02-18,1X16,N/A
18,"""Miracle Man""",Michael Lange,Chris Carter & Howard Gordon,1994-03-18,1X17,11.6
19,"""Shapes""",David Nutter,Marilyn Osborn,1994-04-01,1X18,11.5
20,"""Darkness Falls""",Joe Napolitano,Chris Carter,1994-04-15,1X19,12.5
21,"""Tooms""",David Nutter,Glen Morgan & James Wong,1994-04-22,1X20,13.4
22,"""Born Again""",Jerrold Freedman,Howard Gordon & Alex Gansa,1994-04-29,1X21,13.7
23,"""Roland""",David Nutter,Chris Ruppenthal,1994-05-06,1X22,12.5
24,"""The Erlenmeyer Flask""",R. W. Goodwin,Chris Carter,1994-05-13,1X23,14
1,"""Little Green Men""",David Nutter,Glen Morgan & James Wong,1994-09-16,2X01,16.1
